Signature,AMM_Time,Average_MM_Size,Union_AMM_Size,Number_MM
230,592.458799123764,17.0,23,9
231,599.316890001297,5.5,7,2
232,NA,NA,NA,NA
233,NA,NA,NA,NA
234,NA,NA,NA,NA
235,NA,NA,NA,NA
236,NA,NA,NA,NA
237,NA,NA,NA,NA
238,NA,NA,NA,NA
239,NA,NA,NA,NA
240,NA,NA,NA,NA
241,NA,NA,NA,NA
242,NA,NA,NA,NA
243,374.61303329467773,4.0,4,1
244,NA,NA,NA,NA
245,NA,NA,NA,NA
246,NA,NA,NA,NA
247,NA,NA,NA,NA
248,NA,NA,NA,NA
249,NA,NA,NA,NA
250,NA,NA,NA,NA
251,NA,NA,NA,NA
252,NA,NA,NA,NA
253,NA,NA,NA,NA
254,NA,NA,NA,NA
255,NA,NA,NA,NA
256,NA,NA,NA,NA
257,NA,NA,NA,NA
258,NA,NA,NA,NA
259,413.30413818359375,4.0,4,1
260,NA,NA,NA,NA
261,NA,NA,NA,NA
262,NA,NA,NA,NA
263,NA,NA,NA,NA
264,NA,NA,NA,NA
265,NA,NA,NA,NA
266,NA,NA,NA,NA
267,NA,NA,NA,NA
268,NA,NA,NA,NA
269,NA,NA,NA,NA
270,NA,NA,NA,NA
271,NA,NA,NA,NA
272,NA,NA,NA,NA
273,NA,NA,NA,NA
274,NA,NA,NA,NA
275,NA,NA,NA,NA
276,444.7930643558502,2.0,2,1
277,NA,NA,NA,NA
278,NA,NA,NA,NA
279,NA,NA,NA,NA
280,NA,NA,NA,NA
281,NA,NA,NA,NA
282,NA,NA,NA,NA
283,NA,NA,NA,NA
284,NA,NA,NA,NA
285,430.1734895706177,4.0,4,1
286,NA,NA,NA,NA
287,NA,NA,NA,NA
288,NA,NA,NA,NA
289,NA,NA,NA,NA
290,NA,NA,NA,NA
291,NA,NA,NA,NA
292,NA,NA,NA,NA
293,NA,NA,NA,NA
294,NA,NA,NA,NA
295,NA,NA,NA,NA
296,NA,NA,NA,NA
297,458.93733954429626,20.5,22,2
298,NA,NA,NA,NA
299,NA,NA,NA,NA
300,NA,NA,NA,NA
301,NA,NA,NA,NA
302,NA,NA,NA,NA
303,NA,NA,NA,NA
304,597.3852541446686,0.0,0,1
305,NA,NA,NA,NA
306,NA,NA,NA,NA
307,NA,NA,NA,NA
308,NA,NA,NA,NA
309,NA,NA,NA,NA
310,466.12981843948364,4.0,4,1
311,NA,NA,NA,NA
312,NA,NA,NA,NA
313,NA,NA,NA,NA
314,517.2570254802704,4.0,4,1
315,NA,NA,NA,NA
316,NA,NA,NA,NA
317,NA,NA,NA,NA
318,NA,NA,NA,NA
319,NA,NA,NA,NA
320,NA,NA,NA,NA
321,NA,NA,NA,NA
322,NA,NA,NA,NA
323,NA,NA,NA,NA
324,NA,NA,NA,NA
325,NA,NA,NA,NA
326,NA,NA,NA,NA
327,NA,NA,NA,NA
328,NA,NA,NA,NA
329,NA,NA,NA,NA
330,NA,NA,NA,NA
331,NA,NA,NA,NA
332,NA,NA,NA,NA
333,NA,NA,NA,NA
334,NA,NA,NA,NA
335,NA,NA,NA,NA
336,NA,NA,NA,NA
337,NA,NA,NA,NA
338,NA,NA,NA,NA
339,NA,NA,NA,NA
340,NA,NA,NA,NA
341,597.9334006309509,5.0,5,1
342,NA,NA,NA,NA
343,NA,NA,NA,NA
344,NA,NA,NA,NA
345,NA,NA,NA,NA
346,NA,NA,NA,NA
347,NA,NA,NA,NA
348,NA,NA,NA,NA
349,NA,NA,NA,NA
350,NA,NA,NA,NA
351,NA,NA,NA,NA
352,436.6813871860504,3.0,3,1
353,NA,NA,NA,NA
354,535.5608479976654,2.0,2,1
355,NA,NA,NA,NA
356,NA,NA,NA,NA
357,NA,NA,NA,NA
358,NA,NA,NA,NA
359,NA,NA,NA,NA
360,NA,NA,NA,NA
361,NA,NA,NA,NA
362,NA,NA,NA,NA
363,NA,NA,NA,NA
364,NA,NA,NA,NA
365,NA,NA,NA,NA
366,NA,NA,NA,NA
367,NA,NA,NA,NA
368,473.27592396736145,17.0,17,1
369,372.5614581108093,5.5,7,2
370,NA,NA,NA,NA
371,NA,NA,NA,NA
372,NA,NA,NA,NA
373,NA,NA,NA,NA
374,NA,NA,NA,NA
375,NA,NA,NA,NA
376,NA,NA,NA,NA
377,NA,NA,NA,NA
378,NA,NA,NA,NA
379,NA,NA,NA,NA
380,NA,NA,NA,NA
381,NA,NA,NA,NA
382,NA,NA,NA,NA
383,NA,NA,NA,NA
384,293.5807366371155,10.0,10,1
385,NA,NA,NA,NA
386,NA,NA,NA,NA
387,NA,NA,NA,NA
388,NA,NA,NA,NA
389,NA,NA,NA,NA
390,NA,NA,NA,NA
391,519.0061020851135,27.5,34,16
392,NA,NA,NA,NA
393,NA,NA,NA,NA
394,489.7512745857239,8.0,8,1
395,NA,NA,NA,NA
396,NA,NA,NA,NA
397,NA,NA,NA,NA
398,NA,NA,NA,NA
399,NA,NA,NA,NA
400,NA,NA,NA,NA
401,NA,NA,NA,NA
402,NA,NA,NA,NA
403,NA,NA,NA,NA
404,NA,NA,NA,NA
405,NA,NA,NA,NA
406,NA,NA,NA,NA
407,NA,NA,NA,NA
